,Title,Artist,Lyrics
16,Decks Dark,Radiohead,"""Then into your life, there comes a darkness\nThere's a spacecraft blocking out the sky\nAnd there's nowhere to hide\nYou run to the back and you cover your ears\nBut it's the loudest sound you've ever heard\nAnd all we trapped rag doll cloth people\nWe are helpless to resist\nInto our darkest hour\n\nBut it was just a laugh, just a laugh\nJust a laugh, just a laugh\nEven at this angle\nAnd so we crumble\nA ten ton head, made of wet sand\nOh, this dread circumference\nYou've gotta be kidding me\nThe grass grows over me\nYour face in the glass, in the glass\nIt was just a laugh, just a laugh\nIt's whatever you say it is\nIn split infinity\n\nThen into your life, there comes a darkness\nAnd a spacecraft blocking out the sky\nAnd there's nowhere to hide\nYou run to the back and you cover your ears\nBut it's the loudest sound you've ever heard\nInto your darkest hour\nWhen you've had enough of me\nWhen you've had enough of me\nSweet darling\nWhen you've had enough of me\nWhen you've had enough of me\nSweet darling\nSweet times\nSweet darling\nSweet times38EmbedShare URLCopyEmbedCopy"""
17,Reckoner,Radiohead,"""Reckoner\nCan't take it with you\nDancing for your pleasure\n\nYou are not to blame for\nBittersweet distractors\nDare not speak its name\n\nDedicated to all hu–\nAll human beings\n\nBecause we separate\nLike ripples on a blank shore\nBecause we separate (In rainbows)\nLike ripples on a blank shore (In rainbows)\n\nReckoner\nTake me with you\n\nDedicated to all hu–\nAll human beings38EmbedShare URLCopyEmbedCopy"""
18,Present Tense,Radiohead,"""This dance, this dance\nIs like a weapon, is like a weapon\nOf self-defence, of self-defence\nAgainst the present, against the present\nThe present tense\nNo, I won't get heavy, don't get heavy\nKeep it light and keep it moving\nI am doing no harm\nAs my world comes crashing down\nI'll be dancing, freaking out\nDeaf, dumb, and blind\n\nIn you, I'm lost\nIn you, I'm lost\n\nI won't turn around or the penny drops\nWon't stop now, won't slack off\nOr all this love will be in vain\nTo stop from falling down a mine\nIt's no one's business but mine\nWhere all this love has been in vain\n\nIn you, I'm lost\nIn you, I'm lost\nIn you, I'm lost\nIn you, I'm lost53EmbedShare URLCopyEmbedCopy"""
19,Fitter Happier,Radiohead,"""Fitter, happier, more productive\nComfortable (Not drinking too much)\nRegular exercise at the gym (Three days a week)\nGetting on better with your associate employee contemporaries\nAt ease\nEating well (No more microwave dinners and saturated fats)\nA patient, better driver\nA safer car (Baby smiling in back seat)\nSleeping well (No bad dreams)\nNo paranoia\nCareful to all animals (Never washing spiders down the plughole)\nKeep in contact with old friends (Enjoy a drink now and then)\nWill frequently check credit at (Moral) bank (hole in wall)\nFavours for favours\nFond but not in love\nCharity standing orders\nOn Sundays ring road supermarket\n(No killing moths or putting boiling water on the ants)\nCar wash (Also on Sundays)\nNo longer afraid of the dark\nOr midday shadows\nNothing so ridiculously teenage and desperate\nNothing so childish\nAt a better pace\nSlower and more calculated\nNo chance of escape\nNow self-employed\nConcerned (But powerless)\nAn empowered and informed member of society (Pragmatism not idealism)\nWill not cry in public\nLess chance of illness\nTires that grip in the wet (Shot of baby strapped in back seat)\nA good memory\nStill cries at a good film\nStill kisses with saliva\nNo longer empty and frantic\nLike a cat\nTied to a stick\nThat's driven into\nFrozen winter shit (The ability to laugh at weakness)\nCalm\nFitter, healthier and more productive\nA pig\nIn a cage\nOn antibiotics28EmbedShare URLCopyEmbedCopy"""
20,Let It Be,The Beatles,"'When I find myself in times of trouble, Mother Mary comes to me\nSpeaking words of wisdom, ""Let it be""\nAnd in my hour of darkness, she is standing right in front of me\nSpeaking words of wisdom, ""Let it be""\n\nLet it be, let it be, let it be, let it be\nWhisper words of wisdom, let it be\n\nAnd when the brokenhearted people living in the world agree\nThere will be an answer, let it be\nFor though they may be parted, there is still a chance that they will see\nThere will be an answer, let it be\n\nLet it be, let it be, let it be, let it be\nYeah, there will be an answer, let it be\nLet it be, let it be, let it be, let it be\nWhisper words of wisdom, let it be\n\nLet it be, let it be, let it be, yeah, let it be\nWhisper words of wisdom, let it be\nAnd when the night is cloudy, there is still a light that shines on me\nShine on \'til tomorrow, let it be\nI wake up to the sound of music, Mother Mary comes to me\nSpeaking words of wisdom, ""Let it be""\n\nLet it be, let it be, let it be, yeah, let it be\nOh, there will be an answer, let it be\nLet it be, let it be, let it be, yeah, let it be\nOh, there will be an answer, let it be\nLet it be, let it be, let it be, yeah, let it be\nWhisper words of wisdom, let it be115EmbedShare URLCopyEmbedCopy'"
21,Yesterday,The Beatles,"""Yesterday\nAll my troubles seemed so far away\nNow it looks as though they're here to stay\nOh, I believe in yesterday\n\nSuddenly\nI'm not half the man I used to be\nThere's a shadow hanging over me\nOh, yesterday came suddenly\n\nWhy she had to go\nI don't know, she wouldn't say\nI said something wrong\nNow I long for yesterday\n\nYesterday\nLove was such an easy game to play\nNow I need a place to hide away\nOh, I believe in yesterday\n\nWhy she had to go\nI don't know, she wouldn't say\nI said something wrong\nNow I long for yesterday\nYesterday\nLove was such an easy game to play\nNow I need a place to hide away\nOh, I believe in yesterday\n\nMmm-mmm-mmm-mmm-mmm, hmm-hmm90EmbedShare URLCopyEmbedCopy"""
22,Come Together,The Beatles,"'Shoot me\nShoot me\nShoot me\nShoot me\n\nHere come old flat-top, he come groovin\' up slowly\nHe got ju-ju eyeball, he one holy roller\nHe got hair down to his knee\nGot to be a joker, he just do what he please\n\nShoot me\nShoot me\nShoot me\nShoot me\n\nHe wear no shoeshine, he got toe-jam football\nHe got monkey finger, he shoot Coca-Cola\nHe say, ""I know you, you know me""\nOne thing I can tell you is you got to be free\n\nCome together, right now\nOver me\nShoot me\nShoot me\nShoot me\nShoot me\n\nHe bag production, he got walrus gumboot\nHe got Ono sideboard, he one spinal cracker\nHe got feet down below his knee\nHold you in his armchair, you can feel his disease\n\nCome together, right now\nOver me\n\nShoot me\nShoot me\nRight!\nCome, come, come, come\n\nHe roller-coaster, he got early warnin\'\nHe got muddy water, he one mojo filter\nHe say, ""One and one and one is three""\nGot to be good-lookin\' \'cause he\'s so hard to see\nCome together, right now\nOver me\n\nShoot me\nShoot me\nShoot me\nShoot me\nUgh!\n\nCome together, yeah\nCome together, yeah\nCome together, yeah\nCome together, yeah\nCome together, yeah\nCome together, yeah\nCome together, yeah\nCome together, yeah\nCome together, yeah\nCome together74EmbedShare URLCopyEmbedCopy'"
23,Hey Jude,The Beatles,"""Hey Jude, don't make it bad\nTake a sad song and make it better\nRemember to let her into your heart\nThen you can start to make it better\n\nHey Jude, don't be afraid\nYou were made to go out and get her\nThe minute you let her under your skin\nThen you begin to make it better\n\nAnd anytime you feel the pain, hey Jude, refrain\nDon't carry the world upon your shoulders\nFor well you know that it's a fool who plays it cool\nBy making his world a little colder\nNa na na na na na na na na na\n\nHey Jude, don't let me down\nYou have found her, now go and get her\n(Let it out and let it in)\nRemember (Hey Jude) to let her into your heart\nThen you can start to make it better\nSo let it out and let it in, hey Jude, begin\nYou're waiting for someone to perform with\nAnd don't you know that it's just you, hey Jude, you'll do\nThe movement you need is on your shoulder\nNa na na na na na na na na yeah\n\nHey Jude, don't make it bad\nTake a sad song and make it better\nRemember to let her under your skin\nThen you'll begin to make it (Whoa, fucking hell!)\nBetter better better better better better, oh\n\nYeah yeah yeah yeah yeah yeah yeah\nNaa na na na na na na, na na na na, hey Jude\nNaa na na na na na na, na na na na, hey Jude\nNaa na na na na na na, na na na na, hey Jude\nNaa na na na na na na, na na na na, hey Jude\n(Jude Judy Judy Judy Judy Judy ow wow)\nNaa na na na na na na (Na na na), na na na na, hey Jude\n(Jude Jude Jude Jude Jude)\nNaa na na na na na na (Yeah yeah yeah), na na na na, hey Jude\n(You know you can make, Jude Jude, You're not gonna break it)\nNaa na (Don't make it bad Jude) na na na na na (Take a sad song and make it better), na na na na, hey Jude\nHey Jude, hey Jude wow\nNaa na na na na na na, na na na na, hey Jude\nNaa na na na na na na, na na na na, hey Jude\nJude Jude Jude Jude Jude Jude\nNaa na na na na na na, na na na na, hey Jude\nNaa na na na na na na, na na na na, hey Jude\n(Na na na na na na na na na na na na)\nNaa na na na na na na, na na na na, hey Jude\nNaa na na na na na na, na na na na, hey Jude\nNaa na na na na na na (Make it Jude), na na na na, hey Jude\n(Yeah yeah yeah yeah yeah yeah yeah)\nNaa na na na na na na, na na na na, hey Jude\n(Go listen to ya ma ma ma ma ma ma ma ma)\nNaa na na na na na na, na na na na, hey Jude\nNaa na na na na na na, na na na na, hey Jude92EmbedShare URLCopyEmbedCopy"""
24,Here Comes the Sun,The Beatles,"""Here comes the sun, doo da doo doo\nHere comes the sun, and I say\nIt's all right\n\nLittle darling, it's been a long cold lonely winter\nLittle darling, it feels like years since it's been here\n\nHere comes the sun, doo da doo doo\nHere comes the sun, and I say\nIt's all right\n\nLittle darling, the smile's returning to the faces\nLittle darling, it seems like years since it's been here\n\nHere comes the sun\nHere comes the sun, and I say\nIt's all right\n\nSun, sun, sun, here it comes\nSun, sun, sun, here it comes\nSun, sun, sun, here it comes\nSun, sun, sun, here it comes\nSun, sun, sun, here it comes\nLittle darling, I feel that ice is slowly melting\nLittle darling, it seems like years since it's been clear\n\nHere comes the sun, doo da doo doo\nHere comes the sun, and I say\nIt's all right\n\nHere comes the sun, doo da doo doo\nHere comes the sun\nIt's all right\nIt's all right53EmbedShare URLCopyEmbedCopy"""
25,Something,The Beatles,"""Something in the way she moves\nAttracts me like no other lover\nSomething in the way she woos me\n\nI don't want to leave her now\nYou know I believe and how\n\nSomewhere in her smile she knows\nThat I don't need no other lover\nSomething in her style that shows me\n\nI don't want to leave her now\nYou know I believe and how\n\nYou're asking me will my love grow\nI don't know, I don't know\nYou stick around, now it may show\nI don't know, I don't know\n\nSomething in the way she knows\nAnd all I have to do is think of her\nSomething in the things she shows me\n\nI don't want to leave her now\nYou know I believe and how31EmbedShare URLCopyEmbedCopy"""
26,A Day in the Life,The Beatles,"""I read the news today—oh, boy\nAbout a lucky man who made the grade\nAnd though the news was rather sad\nWell, I just had to laugh\nI saw the photograph\nHe blew his mind out in a car\nHe didn't notice that the lights had changed\nA crowd of people stood and stared\nThey'd seen his face before\nNobody was really sure if he was from the House of Lords\n\nI saw a film today, oh boy\nThe English Army had just won the war\nA crowd of people turned away\nBut I just had to look\nHaving read the book\n\nI'd love to turn you on\n(Seven, Eight, Nine, Ten)\n\n*alarm clock rings*\nWoke up, fell out of bed\nDragged a comb across my head\nFound my way downstairs and drank a cup\nAnd looking up I noticed I was late\nFound my coat and grabbed my hat\nMade the bus in seconds flat\nFound my way upstairs and had a smoke\nAnd somebody spoke and I went into a dream\nAhh-ah-ah-ah\nAh-ah-ah, ah-ah-ahh\n\nI read the news today—oh, boy\nFour thousand holes in Blackburn, Lancashire\nAnd though the holes were rather small\nThey had to count them all\nNow they know how many holes it takes to fill the Albert Hall\n\nI'd love to turn you on\nNever could be any other way\nNever could be any other way\nNever could be any other way\nNever could be any other way\nNever could be any other way\nNever could be any other way\nNever could be any other way\nNever could be any other way\nNever could be any other way\nNever could be any other way69EmbedShare URLCopyEmbedCopy"""
27,Blackbird,The Beatles,"'Blackbird singing in the dead of night\nTake these broken wings and learn to fly\nAll your life\nYou were only waiting for this moment to arise\n\nBlackbird singing in the dead of night\nTake these sunken eyes and learn to see\nAll your life\nYou were only waiting for this moment to be free\n\nBlackbird fly, blackbird fly\nInto the light of the dark black night\n\n\nBlackbird fly, blackbird fly\nInto the light of the dark black night\n\nBlackbird singing in the dead of night\nTake these broken wings and learn to fly\nAll your life\nYou were only waiting for this moment to arise\nYou were only waiting for this moment to arise\nYou were only waiting for this moment to arise41EmbedShare URLCopyEmbedCopy'"
28,Eleanor Rigby,The Beatles,"""Ah, look at all the lonely people!\nAh, look at all the lonely people!\nEleanor Rigby\nPicks up the rice in the church where a wedding has been\nLives in a dream\nWaits at the window\nWearing the face that she keeps in a jar by the door\nWho is it for?\n\nAll the lonely people\nWhere do they all come from?\nAll the lonely people\nWhere do they all belong?\n\nFather McKenzie\nWriting the words of a sermon that no one will hear\nNo one comes near\nLook at him working\nDarning his socks in the night when there's nobody there\nWhat does he care?\nAll the lonely people\nWhere do they all come from?\nAll the lonely people\nWhere do they all belong?\n\nAh, look at all the lonely people!\nAh, look at all the lonely people!\nEleanor Rigby\nDied in the church and was buried along with her name\nNobody came\nFather McKenzie\nWiping the dirt from his hands as he walks from the grave\nNo one was saved\n\nAll the lonely people (Ah, look at all the lonely people!)\nWhere do they all come from?\nAll the lonely people (Ah, look at all the lonely people!)\nWhere do they all belong?73EmbedShare URLCopyEmbedCopy"""
29,I Am the Walrus,The Beatles,"""I am he as you are he as you are me and we are all together\nSee how they run like pigs from a gun, see how they fly\nI'm crying\n\nSitting on a cornflake\nWaiting for the van to come\nCorporation tee-shirt, stupid bloody Tuesday\nMan, you've been a naughty boy, you let your face grow long\n\nI am the eggman, I am the eggman\nI am the walrus, goo goo a'joob\n\nMister City p'liceman sitting, pretty little p'licemen in a row\nSee how they fly like Lucy in the sky, see how they run\nI'm crying, I'm crying\nI'm crying, I'm crying\n\nYellow-matter custard\nDripping from a dead dog's eye\nCrab a locker fishwife, pornographic priestess\nBoy, you've been a naughty girl, you let your knickers down\nI am the eggman, they are the egg men\nI am the walrus, goo goo a'joob\n\nSitting in an English garden waiting for the sun\nIf the sun don't come, you get a tan from standing in the English rain\n\nI am the egg man (Now good sir, what are you?)\nThey are the egg men (A poor man, made tame to fortune's blows)\nI am the walrus, goo goo goo joob (Good pity)\nG'goo goo g'joob\n\nExpert, textpert, choking smokers\nDon't you think the joker laughs at you?\n(Ho ho ho, hee hee hee, ha ha ha)\nSee how they smile like pigs in a sty, see how they snied\nI'm crying\n\nSemolina pilchard\nClimbing up the Eiffel Tower\nElementary penguin singing Hare Krishna\nMan, you should have seen them kicking Edgar Allan Poe\nI am the eggman, they are the eggmen\nI am the walrus, goo goo g'joob g'goo goo g'joob\nGoo goo a'joob g'goo goo g'joob, g'goo\nJoob! Joob! Joob!\n\nJoob! Joob! Joob!\nJoob! Joob! Joob! Joob! Joob!\nJoob! Joob!\nJoob! Joob!\n\nUmpa, umpa, stick it up your jumper\nEverybody's got one, everybody's got one\n“Villain, take my Purse\nIf ever thou wilt thrive, bury my Body\nAnd give the Letters which thou findst about me\nTo Edmund Earl of Gloucester: seek him out upon the English Party\nOh, untimely death, death–”\n“I know thee well, a serviceable Villain; as duteous to the Vices of thy Mistress as badness would desire”\n“What, is he dead?”\n“Sit you down, Father; rest you”35EmbedShare URLCopyEmbedCopy"""
30,In My Life,The Beatles,"""There are places I'll remember\nAll my life, though some have changed\nSome forever, not for better\nSome have gone and some remain\n\nAll these places had their moments\nWith lovers and friends, I still can recall\nSome are dead and some are living\nIn my life, I've loved them all\n\nBut of all these friends and lovers\nThere is no one compares with you\nAnd these memories lose their meaning\nWhen I think of love as something new\n\nThough I know I'll never lose affection\nFor people and things that went before\nI know I'll often stop and think about them\nIn my life, I love you more\n\nThough I know I'll never lose affection\nFor people and things that went before\nI know I'll often stop and think about them\nIn my life, I love you more\n\nIn my life, I love you more31EmbedShare URLCopyEmbedCopy"""
31,While My Guitar Gently Weeps,The Beatles,"""I look at you all, see the love there that's sleeping\nWhile my guitar gently weeps\nI look at the floor, and I see it needs sweeping\nStill my guitar gently weeps\n\nI don't know why nobody told you\nHow to unfold your love\nI don't know how someone controlled you\nThey bought and sold you\n\nI look at the world, and I notice it's turning\nWhile my guitar gently weeps\nWith every mistake, we must surely be learning\nStill my guitar gently weeps\n\n\nI don't know how you were diverted\nYou were perverted too\nI don't know how you were inverted\nNo one alerted you\nI look at you all, see the love there that's sleeping\nWhile my guitar gently weeps\n(I look) Look at you all\nStill my guitar gently weeps\n\nOh, oh\nOh, oh, oh, oh, oh, oh, oh\nOh, oh, oh, oh\nYeah, yeah, yeah, yeah, yeah\nYeah, yeah, yeah, yeah, oh, ooh34EmbedShare URLCopyEmbedCopy"""
32,Across the Universe,The Beatles,"""Words are flowing out like endless rain into a paper cup\nThey slither wildly as they slip away across the universe\nPools of sorrow, waves of joy are drifting through my opened mind\nPossessing and caressing me\n\nJai Guru Deva, Om\nNothing's gonna change my world\nNothing's gonna change my world\nNothing's gonna change my world\nNothing's gonna change my world\n\nImages of broken light which dance before me like a million eyes\nThey call me on and on across the universe\nThoughts meander like a restless wind inside a letter box\nThey tumble blindly as they make their way across the universe\n\nJai Guru Deva, Om\nNothing's gonna change my world\nNothing's gonna change my world\nNothing's gonna change my world\nNothing's gonna change my world\nSounds of laughter, shades of life are ringing through my open ears\nInciting and inviting me\nLimitless undying love which shines around me like a million suns\nIt calls me on and on across the universe\n\nJai Guru Deva, Om\nNothing's gonna change my world\nNothing's gonna change my world\nNothing's gonna change my world\nNothing's gonna change my world\n\nJai Guru Deva\nJai Guru Deva\nJai Guru Deva\nJai Guru Deva\nJai Guru Deva\nJai Guru Deva48EmbedShare URLCopyEmbedCopy"""
